,CourseCode,Name,Session,Career,Units,ModeOfDelivery,Year
0,BIAN2115,'Race' and Human Genetic Variation,,Undergraduate,6.0,In Person,2014
1,ENGL3005,"16th, 17th and 18th Century Literature(H)",,Undergraduate,6.0,In Person,2014
2,ENGL2008,19th and 20th Century Literature,,Undergraduate,6.0,In Person,2014
3,ENGL2115,20th Century American Drama,,Undergraduate,6.0,In Person,2014
4,ASGS1001,20th Century History,First Semester,Undergraduate,6.0,In Person,2014
5,PREP1102,20th Century History,First Semester/Second Semester,Undergraduate,6.0,In Person,2014
6,HIST8018,A Globalising World,Second Semester,Postgraduate,6.0,Blended,2014
7,MUSI2217,A History of Jazz,Second Semester,Undergraduate,6.0,In Person,2014
8,MGMT7169,A Management Framework For Business Projects,Second Semester,Postgraduate,6.0,In Person,2014
9,ANCH2020,A region in antiquity: Gallipoli and western Turkey,Spring Session,Undergraduate,12.0,In Person,2014
10,ANCH6505,A region in antiquity: Gallipoli and western Turkey,Spring Session,Postgraduate,12.0,In Person,2014
11,ECCO8001,ANU College of Business and Economics Sub-Thesis,First Semester/Second Semester,Postgraduate,18.0,In Person,2014
12,EXTN1001A,ANU Extension Astrophysics A,Autumn Session,Undergraduate,0.0,In Person,2014
13,EXTN1001B,ANU Extension Astrophysics B,,Undergraduate,6.0,In Person,2014
14,EXTN1002A,ANU Extension Chemistry A,Autumn Session,Undergraduate,0.0,In Person,2014
15,EXTN1002B,ANU Extension Chemistry B,,Undergraduate,6.0,In Person,2014
16,EXTN1004A,ANU Extension Conservation Biology A,Autumn Session,Undergraduate,0.0,In Person,2014
17,EXTN1004B,ANU Extension Conservation Biology B,,Undergraduate,6.0,In Person,2014
18,EXTN1012A,ANU Extension Maths A,Autumn Session,Undergraduate,0.0,In Person,2014
19,EXTN1012B,ANU Extension Maths B,,Undergraduate,6.0,In Person,2014
20,EXTN1011A,ANU Extension Physics A,Autumn Session,Undergraduate,0.0,In Person,2014
21,EXTN1011B,ANU Extension Physics B,,Undergraduate,6.0,In Person,2014
22,SCNC5922,ANU/NUS JD (Band 2 NP),First Semester/Second Semester,Undergraduate,6.0,In Person,2014
23,PHYS8011,ANU/NUS Study Program I,First Semester/Second Semester,Postgraduate,6.0,In Person,2014
24,PHYS8012,ANU/NUS Study Program II,First Semester/Second Semester,Postgraduate,6.0,In Person,2014
25,ASGS1106,ASGS1106 Support For Microeconomics 1,Second Semester,Undergraduate,6.0,In Person,2014
26,ASGS1107,ASGS1107 Support for Communication For Business,Second Semester,Undergraduate,6.0,In Person,2014
27,PSYC3025,Abnormal Psychology across the Life Span,First Semester,Undergraduate,6.0,In Person,2014
28,ANTH7002,Aboriginal Studies Sub-thesis,First Semester/Second Semester,Postgraduate,18.0,In Person,2014
29,ANTH7003,Aboriginal Studies Sub-thesis (Part-Time),First Semester/Second Semester,Postgraduate,9.0,In Person,2014
30,ABST8900P,"Aboriginal and Economic Policy Research, RSSS",,Research,6.0,In Person,2014
31,ABST9000P,"Aboriginal and Economic Policy Research, RSSS",,Research,6.0,In Person,2014
32,ABST8900F,"Aboriginal and Economic Policy Research, RSSS",,Research,6.0,In Person,2014
33,ABST9000F,"Aboriginal and Economic Policy Research, RSSS",,Research,6.0,In Person,2014
34,ARTH2098,Aboriginal and Torres Strait Islander Art,,Undergraduate,6.0,In Person,2014
35,ARTH6598,Aboriginal and Torres Strait Islander Art,,Postgraduate,6.0,Online or In Person,2014
36,EDUC8007,Academic  Leadership and Management,First Semester,Postgraduate,6.0,In Person,2014
37,EDUC8005,Academic Career in Context,,Postgraduate,6.0,In Person,2014
38,DEMO6925,Academic Skills for Social Scientists,Summer Session/Autumn Session,Postgraduate,6.0,In Person,2014
39,PHYS8203,Accelerators and their application,First Semester,Postgraduate,6.0,In Person,2014
40,ASIA3020,Accessing Japanese Law: Contemporary Issues in Japanese Law and Society,,Undergraduate,6.0,In Person,2014
41,ASIA6021,Accessing Japanese Law: Contemporary Issues in Japanese Law and Society,,Postgraduate,6.0,In Person,2014
42,PREP1103,Accounting,First Semester/Second Semester,Undergraduate,6.0,In Person,2014
43,ACCT4004F,Accounting IV Honours (S),First Semester/Second Semester,Undergraduate,12.0,In Person,2014
44,ACCT4004P,Accounting IV Honours (S),First Semester/Second Semester,Undergraduate,12.0,In Person,2014
45,INFS2005,Accounting Information Systems,First Semester/Second Semester,Undergraduate,6.0,In Person,2014
46,INFS7004,Accounting Information Systems,Second Semester,Postgraduate,6.0,In Person,2014
47,BUSN1002,Accounting Processes and Systems,First Semester/Second Semester,Undergraduate,6.0,In Person,2014
48,BUSN3001,Accounting Theory,First Semester/Second Semester,Undergraduate,6.0,In Person,2014
49,LEGW8100,Accounts,Summer Session/Autumn Session/Winter Session/Spring Session,Postgraduate,3.0,In Person,2014
50,LING3005,Acoustics of Voice,,Undergraduate,6.0,In Person,2014
51,LING6505,Acoustics of Voice,,Postgraduate,6.0,In Person,2014
52,LANG2103,Acquiring Pragmatics of a Second Language,,Undergraduate,6.0,In Person,2014
53,LANG6103,Acquiring Pragmatics of a Second Language,,Postgraduate,6.0,In Person,2014
54,EDUC8006,Action Learning Project,Summer Session/First Semester/Second Semester,Postgraduate,3.0,In Person,2014
55,EDUC8010,Action Learning Project 2,First Semester/Second Semester,Postgraduate,3.0,In Person,2014
56,EDUC8009,Action Research Project 1,First Semester,Postgraduate,6.0,In Person,2014
57,EDUC8011,Action Research Project 3,Second Semester,Postgraduate,6.0,In Person,2014
58,ACST4031,Actuarial Control Cycle A1,First Semester,Undergraduate,6.0,In Person,2014
59,ACST4032,Actuarial Control Cycle A2,Second Semester,Undergraduate,6.0,In Person,2014
60,ACST4033,Actuarial Control Cycle B,Second Semester,Undergraduate,6.0,In Person,2014
61,ACST4004P,Actuarial Studies IV Honours (S),First Semester/Second Semester,Undergraduate,12.0,In Person,2014
62,ACST4004F,Actuarial Studies IV Honours (S),First Semester/Second Semester,Undergraduate,12.0,In Person,2014
63,STAT3038,Actuarial Techniques,Second Semester,Undergraduate,6.0,In Person,2014
64,STAT6045,Actuarial Techniques,Second Semester,Postgraduate,6.0,In Person,2014
65,LAWS2201,Administrative Law,First Semester,Undergraduate,6.0,In Person,2014
66,LEGW8118,Administrative Law Practice,Summer Session/Autumn Session/Winter Session/Spring Session,Postgraduate,3.0,Online,2014
67,COMP4600,Advanced Algorithms,Second Semester,Undergraduate,6.0,In Person,2014
68,COMP8460,Advanced Algorithms,Second Semester,Postgraduate,6.0,In Person,2014
69,PHIL3072,Advanced Analytic Philosophy,First Semester,Undergraduate,6.0,In Person,2014
70,GREK2125,Advanced Ancient Greek,First Semester/Second Semester,Undergraduate,6.0,In Person,2014
71,GREK6125,Advanced Ancient Greek,First Semester/Second Semester,Postgraduate,6.0,In Person,2014
72,GREK2115,Advanced Ancient Greek N,,Undergraduate,6.0,In Person,2014
73,GREK2116,Advanced Ancient Greek O,,Undergraduate,6.0,In Person,2014
74,GREK2117,Advanced Ancient Greek P - Reading course,First Semester,Undergraduate,6.0,In Person,2014
75,GREK2118,Advanced Ancient Greek Q - Reading Course,Second Semester,Undergraduate,6.0,In Person,2014
76,ARAB3001,Advanced Arabic A,First Semester,Undergraduate,6.0,In Person,2014
77,ARAB6503,Advanced Arabic A,First Semester,Postgraduate,6.0,In Person,2014
78,ARAB3002,Advanced Arabic B,Second Semester,Undergraduate,6.0,In Person,2014
79,ARAB6504,Advanced Arabic B,Second Semester,Postgraduate,6.0,In Person,2014
80,ARCH8018,Advanced Archaeology 1,,Postgraduate,6.0,In Person,2014
81,ARCH8019,Advanced Archaeology 2,,Postgraduate,6.0,In Person,2014
82,ARCH8020,Advanced Archaeology 3,,Postgraduate,6.0,In Person,2014
83,ARCH8021,Advanced Archaeology 4,,Postgraduate,6.0,In Person,2014
84,ARCH8022,Advanced Archaeology 5,,Postgraduate,6.0,In Person,2014
85,ARCH8023,Advanced Archaeology 6,,Postgraduate,6.0,In Person,2014
86,BUSN8056,Advanced Auditing and Assurance Services,First Semester/Second Semester,Postgraduate,6.0,In Person,2014
87,COMP4560,Advanced Computing Project,First Semester/Second Semester,Undergraduate,12.0,In Person,2014
88,COMP3560,Advanced Computing R&D Industry Experience,Summer Session,Undergraduate,0.0,In Person,2014
89,COMP2550,Advanced Computing R&D Methods,First Semester,Undergraduate,6.0,In Person,2014
90,COMP3550,Advanced Computing R&D Project,First Semester/Second Semester,Undergraduate,12.0,In Person,2014
91,COMP4550,Advanced Computing Research Project,First Semester/Second Semester,Undergraduate,24.0,In Person,2014
92,PHIL3071,Advanced Continental Philosophy,First Semester,Undergraduate,6.0,In Person,2014
93,POGO8202,Advanced Contract Management,,Postgraduate,6.0,In Person,2014
94,LAWS8218,Advanced Contracts,Spring Session,Postgraduate,6.0,In Person,2014
95,FINM8004,Advanced Corporate Finance,First Semester/Second Semester,Postgraduate,6.0,In Person,2014
96,COMP3420,Advanced Databases and Data Mining,First Semester,Undergraduate,6.0,In Person,2014
97,FINM3007,Advanced Derivatives Pricing and Applications,Second Semester,Undergraduate,6.0,In Person,2014
98,EMSC8019,Advanced Earth Physics,,Postgraduate,6.0,In Person,2014
99,PHIL3073,"Advanced Ethics, Social and Political Philosophy",Second Semester,Undergraduate,6.0,In Person,2014
100,ARCH8002,Advanced Field Training in Archaeological Science,Winter Session,Postgraduate,6.0,In Person,2014
101,FREN3008,Advanced French Topics,First Semester,Undergraduate,6.0,In Person,2014
102,FREN6508,Advanced French Topics,First Semester,Postgraduate,6.0,In Person,2014
103,ACST8048,Advanced General Insurance,,Postgraduate,6.0,In Person,2014
104,EMSC8021,"Advanced Geochemistry, Petrology and Tectonics",,Postgraduate,6.0,In Person,2014
105,ACST8049,Advanced Global Retirement Income Systems,First Semester,Postgraduate,6.0,In Person,2014
106,INDN3012,Advanced Indonesian A In-Country,Summer Session/Winter Session,Undergraduate,6.0,In Person,2014
107,INDN3013,Advanced Indonesian B In-Country,Summer Session/Winter Session,Undergraduate,6.0,In Person,2014
108,LAWS2264,Advanced International Law,Second Semester,Undergraduate,6.0,In Person,2014
109,FINM8006,Advanced Investments,First Semester/Second Semester,Postgraduate,6.0,In Person,2014
110,ANTH8034,Advanced Issues in Anthropology,Second Semester,Postgraduate,12.0,In Person,2014
111,JPNS3006,Advanced Japanese:  Language in Context,First Semester,Undergraduate,6.0,In Person,2014
112,JPNS3005,Advanced Japanese: Issues in Contemporary Japan,,Undergraduate,6.0,In Person,2014
113,JPNS6505,Advanced Japanese: Issues in Contemporary Japan,,Postgraduate,6.0,In Person,2014
114,JPNS6506,Advanced Japanese: Language in Context,First Semester,Postgraduate,6.0,In Person,2014
115,JPNS6507,Advanced Japanese: Readings in Culture and Society,,Postgraduate,6.0,In Person,2014
116,JPNS3007,Advanced Japanese: Readings in Culture and Society,,Undergraduate,6.0,In Person,2014
117,JPNS3008,Advanced Japanese: Readings in Literature,Second Semester,Undergraduate,6.0,In Person,2014
118,JPNS6508,Advanced Japanese: Readings in Literature,Second Semester,Postgraduate,6.0,In Person,2014
119,CHEM3062,Advanced Laboratory Techniques in Chemical Synthesis,First Semester,Undergraduate,3.0,In Person,2014
120,LATN2125,Advanced Latin,First Semester/Second Semester,Undergraduate,6.0,In Person,2014
121,LATN6125,Advanced Latin,First Semester/Second Semester,Postgraduate,6.0,In Person,2014
122,LATN6117,Advanced Latin P,,Postgraduate,6.0,In Person,2014
123,LATN2117,Advanced Latin P - Reading Course,First Semester,Undergraduate,6.0,In Person,2014
124,LATN2118,Advanced Latin Q - Reading Course,Second Semester,Undergraduate,6.0,In Person,2014
125,ACST8047,Advanced Life Insurance,,Postgraduate,6.0,In Person,2014
126,BUSN3003,Advanced Management Accounting,,Undergraduate,6.0,In Person,2014
127,BUSN8003,Advanced Managerial Decision Making,,Postgraduate,6.0,In Person,2014
128,STAT3005,Advanced Marketing Research Methods,First Semester,Undergraduate,6.0,In Person,2014
129,STAT7007,Advanced Marketing Research Methods,First Semester,Postgraduate,6.0,In Person,2014
130,STAT8056,Advanced Mathematical Statistics,Second Semester,Postgraduate,6.0,In Person,2014
131,STAT3056,Advanced Mathematical Statistics,Second Semester,Undergraduate,6.0,In Person,2014
132,LAWS8165,Advanced Military Administrative Law,Spring Session,Postgraduate,6.0,In Person,2014
133,LAWS8164,Advanced Military Discipline Law,,Postgraduate,9.0,In Person,2014
134,LAWS8166,Advanced Military Operations Law,Autumn Session,Postgraduate,6.0,In Person,2014
135,EMSC8707,Advanced Natural Hazards,,Postgraduate,6.0,In Person,2014
136,PERS3005,Advanced Persian A,First Semester,Undergraduate,6.0,In Person,2014
137,PERS6005,Advanced Persian A,First Semester,Postgraduate,6.0,In Person,2014
138,PERS3006,Advanced Persian B,Second Semester,Undergraduate,6.0,In Person,2014
139,PERS6006,Advanced Persian B,Second Semester,Postgraduate,6.0,In Person,2014
140,PHIL3062,Advanced Philosophical Topics A,,Undergraduate,6.0,In Person,2014
141,PHIL3063,Advanced Philosophical Topics B,,Undergraduate,6.0,In Person,2014
142,CHEM3202,Advanced Physical & Materials Chemistry,First Semester,Undergraduate,6.0,In Person,2014
143,LAWS8183,Advanced Principles of International Law,Summer Session/Winter Session,Postgraduate,6.0,In Person,2014
144,SKRT3108,Advanced Reading In South Asian Cultures,Second Semester,Undergraduate,6.0,Online or In Person,2014
145,CHIN3211,Advanced Readings in Chinese A,First Semester,Undergraduate,6.0,In Person,2014
146,CHIN6211,Advanced Readings in Chinese A,First Semester/Second Semester,Postgraduate,6.0,In Person,2014
147,CHIN3212,Advanced Readings in Chinese B,Second Semester,Undergraduate,6.0,In Person,2014
148,CHIN6212,Advanced Readings in Chinese B,Second Semester,Postgraduate,6.0,In Person,2014
149,CHIN3210,Advanced Readings in Chinese C,,Undergraduate,3.0,In Person,2014
150,CHIN6210,Advanced Readings in Chinese C,,Postgraduate,3.0,In Person,2014
151,JPNS6027,Advanced Readings in Japanese Economy,,Undergraduate,6.0,In Person,2014
152,JPNS3027,Advanced Readings in Japanese Economy,,Undergraduate,6.0,In Person,2014
153,JPNS6023,Advanced Readings in Japanese History,,Postgraduate,6.0,In Person,2014
154,JPNS3023,Advanced Readings in Japanese History,,Undergraduate,6.0,In Person,2014
155,JPNS3024,Advanced Readings in Japanese Law,First Semester,Undergraduate,6.0,In Person,2014
156,JPNS6025,Advanced Readings in Japanese Law,First Semester,Postgraduate,6.0,In Person,2014
157,JPNS3026,Advanced Readings in Japanese: International Relations and Politics,Second Semester,Undergraduate,6.0,In Person,2014
158,JPNS6026,Advanced Readings in Japanese: International Relations and Politics,Second Semester,Postgraduate,6.0,In Person,2014
159,JPNS3025,Advanced Readings in Science and Technology,,Undergraduate,6.0,In Person,2014
160,JPNS6125,Advanced Readings in Science and Technology,,Postgraduate,6.0,In Person,2014
161,SKRT6508,Advanced Readings in South Asian Cultures,Second Semester,Postgraduate,6.0,Online or In Person,2014
162,HIND6108,Advanced Readings in South Asian Cultures,Second Semester,Postgraduate,6.0,In Person,2014
163,URDU3108,Advanced Readings in South Asian Cultures,,Undergraduate,6.0,In Person,2014
164,HIND3108,Advanced Readings in South Asian Cultures,Second Semester,Undergraduate,6.0,In Person,2014
165,URDU6508,Advanced Readings in South Asias Cultures,,Postgraduate,6.0,In Person,2014
166,INDN6005,Advanced Readings in South East Asian Cultures,,Postgraduate,6.0,In Person,2014
167,INDN3005,Advanced Readings in Southeast Asian Culture,,Undergraduate,6.0,In Person,2014
168,THAI6008,Advanced Readings in Thai Language and Culture,Second Semester,Postgraduate,6.0,Online or In Person,2014
169,THAI3008,Advanced Readings in Thai Language and Culture,Second Semester,Undergraduate,6.0,Online or In Person,2014
170,PSYC3018,Advanced Research Methods,Second Semester,Undergraduate,6.0,In Person,2014
171,BIOL8702,Advanced Research Techniques,First Semester,Postgraduate,6.0,In Person,2014
172,SOCY8102,Advanced Social Research Methods,First Semester/Second Semester,Postgraduate,6.0,In Person,2014
173,SPAN6509,Advanced Spanish I,Second Semester,Postgraduate,6.0,In Person,2014
174,SPAN6510,Advanced Spanish II,First Semester,Postgraduate,6.0,In Person,2014
175,SPAN3031,Advanced Spanish Topics in Language and Linguistics,Second Semester,Undergraduate,6.0,In Person,2014
176,SPAN3030,Advanced Spanish topics in Language and Culture,First Semester,Undergraduate,6.0,In Person,2014
177,STAT3006,Advanced Stochastic Processes,,Undergraduate,6.0,In Person,2014
178,SCNC1101,Advanced Studies 1,Summer Session/First Semester/Autumn Session/Winter Session/Second Semester/Spring Session,Undergraduate,6.0,In Person,2014
179,ARTS1101,Advanced Studies 1: Thinking Research,First Semester,Undergraduate,6.0,In Person,2014
180,SCNC1102,Advanced Studies 2,Summer Session/First Semester/Autumn Session/Winter Session/Second Semester/Spring Session,Undergraduate,6.0,In Person,2014
181,ARTS1102,Advanced Studies 2: Doing Research,Second Semester,Undergraduate,6.0,In Person,2014
182,SCNC2101,Advanced Studies 3,Summer Session/First Semester/Autumn Session/Winter Session/Second Semester/Spring Session,Undergraduate,6.0,In Person,2014
183,ARTS2101,Advanced Studies 3,Summer Session/First Semester/Autumn Session/Winter Session/Second Semester/Spring Session,Undergraduate,6.0,In Person,2014
184,ARTS2102,Advanced Studies 4,Summer Session/First Semester/Autumn Session/Winter Session/Second Semester/Spring Session,Undergraduate,6.0,In Person,2014
185,SCNC2102,Advanced Studies 4,Summer Session/First Semester/Autumn Session/Winter Session/Second Semester/Spring Session,Undergraduate,6.0,In Person,2014
186,ARTS3101,Advanced Studies 5,Summer Session/First Semester/Autumn Session/Winter Session/Second Semester/Spring Session,Undergraduate,6.0,In Person,2014
187,SCNC3101,Advanced Studies 5,Summer Session/First Semester/Autumn Session/Winter Session/Second Semester/Spring Session,Undergraduate,6.0,In Person,2014
188,ARTS3102,Advanced Studies 6,Summer Session/First Semester/Autumn Session/Winter Session/Second Semester/Spring Session,Undergraduate,6.0,In Person,2014
189,SCNC3102,Advanced Studies 6,Summer Session/First Semester/Autumn Session/Winter Session/Second Semester/Spring Session,Undergraduate,6.0,In Person,2014
190,ASIA1114,Advanced Studies in Asia and the Pacific 1,Summer Session/First Semester/Autumn Session/Winter Session/Second Semester/Spring Session,Undergraduate,6.0,In Person,2014
191,ASIA2114,Advanced Studies in Asia and the Pacific 2,Summer Session/First Semester/Winter Session/Second Semester/Spring Session,Undergraduate,6.0,In Person,2014
192,ASIA3114,Advanced Studies in Asia and the Pacific 3,Summer Session/First Semester/Autumn Session/Winter Session/Second Semester/Spring Session,Undergraduate,6.0,In Person,2014
193,STST3004,Advanced Study in Asia-Pacific Security,,Undergraduate,6.0,In Person,2014
194,LAWS8030,Advanced Succession Practice,Second Semester,Postgraduate,6.0,Online,2014
195,PHYS3002,Advanced Theoretical Physics,Second Semester,Undergraduate,6.0,In Person,2014
196,COMP4620,Advanced Topics in Artificial Intelligence,,Undergraduate,6.0,In Person,2014
197,COMP8620,Advanced Topics in Artificial intelligence,,Postgraduate,6.0,In Person,2014
198,ENGN8637,Advanced Topics in Communications and Signal Processing,,Postgraduate,6.0,In Person,2014
199,INFS8201,Advanced Topics in Information Systems Research,First Semester,Postgraduate,6.0,In Person,2014
200,COMP8670,Advanced Topics in Logic and Computation,,Postgraduate,6.0,In Person,2014
201,ENGN8536,Advanced Topics in Mechatronics Systems,,Postgraduate,6.0,In Person,2014
202,ECON8901,"Advanced Topics in Poverty, Public Policy and Development",Second Semester,Postgraduate,6.0,In Person,2014
203,ENGN8527,Advanced Topics in Solar Energy Technologies,Second Semester,Postgraduate,6.0,In Person,2014
204,COMP4680,Advanced Topics in Statistical Machine Learning,Second Semester,Undergraduate,6.0,In Person,2014
205,COMP8650,Advanced Topics in Statistical Machine Learning,Second Semester,Postgraduate,6.0,In Person,2014
206,LANG7000F,Advanced Translation Thesis,First Semester/Second Semester,Postgraduate,12.0,In Person,2014
207,LANG7000P,Advanced Translation Thesis,First Semester/Second Semester,Postgraduate,12.0,In Person,2014
208,LANG7001F,Advanced Translation and Commentary,First Semester/Second Semester,Postgraduate,12.0,In Person,2014
209,LANG7001P,Advanced Translation and Commentary,First Semester/Second Semester,Postgraduate,12.0,In Person,2014
210,TURK3001,Advanced Turkish A,,Undergraduate,6.0,In Person,2014
211,TURK6505,Advanced Turkish A,,Postgraduate,6.0,In Person,2014
212,TURK3002,Advanced Turkish B,,Undergraduate,6.0,In Person,2014
213,TURK6506,Advanced Turkish B,,Postgraduate,6.0,In Person,2014
214,EMSC8018,Advanced Water and Marine Geosciences,,Postgraduate,6.0,In Person,2014
215,BIOL6303,Advances Field Studies in Functional Ecology,,Postgraduate,6.0,In Person,2014
216,BIOL3107,Advances in Medical and Plant Biochemistry,First Semester,Undergraduate,6.0,In Person,2014
217,BIOL6107,Advances in Medical and Plant Biochemistry,First Semester,Postgraduate,6.0,In Person,2014
218,BIOL3177,Advances in Molecular Plant Science,First Semester,Undergraduate,6.0,In Person,2014
219,BIOL6177,Advances in Molecular Plant Science,First Semester,Postgraduate,6.0,In Person,2014
220,MKTG2033,Advertising,First Semester,Undergraduate,6.0,In Person,2014
221,LAWS8132,Advocacy,Winter Session,Postgraduate,6.0,In Person,2014
222,IDEC8018,Agricultural Economics and Resource Policy,Second Semester,Postgraduate,6.0,In Person,2014
223,POGO8116,Agriculture in International Trade,,Postgraduate,6.0,In Person,2014
224,IDEC8007,Aid and Development Policy,,Postgraduate,6.0,Online,2014
225,ANCH2022,Alexander the Great and the Hellenistic World,,Undergraduate,6.0,In Person,2014
226,ASGS1005,Algebra,First Semester,Undergraduate,6.0,In Person,2014
227,MATH2322,"Algebra 1 Honours: Groups, Rings and Advanced Linear Algebra",Second Semester,Undergraduate,6.0,In Person,2014
228,MATH6118,"Algebra 1:  Groups, Rings and Advanced Linear Algebra",Second Semester,Postgraduate,6.0,In Person,2014
229,MATH3345,Algebra 2 Honours:  Field extensions and Galois Theory,First Semester,Undergraduate,6.0,In Person,2014
230,MATH6215,Algebra 2: Field extensions and Galois Theory,First Semester,Postgraduate,6.0,In Person,2014
231,MATH3354,Algebra 3: Advanced Topics in Algebra,Second Semester,Undergraduate,6.0,In Person,2014
232,MATH6216,Algebra 3: Advanced Topics in Algebra,Second Semester,Postgraduate,6.0,In Person,2014
233,MATH1003,Algebra and Calculus Methods,First Semester,Undergraduate,6.0,In Person,2014
234,MATH6204,Algebraic Topology,Second Semester,Postgraduate,6.0,In Person,2014
