,CourseCode,Name,Session,Career,Units,ModeOfDelivery,Year
0,BIAN2115,'Race' and Human Genetic Variation,,Undergraduate,6.0,In Person,2016
1,ENGL6020,"16th, 17th and 18th  Century Literature",First Semester,Postgraduate,6.0,In Person,2016
2,ENGL3005,"16th, 17th and 18th Century Literature(H)",First Semester,Undergraduate,6.0,In Person,2016
3,ENGL6022,19th & 20th Century Literature,,Postgraduate,6.0,In Person,2016
4,ENGL3022,19th and 20th Century Literature,,Undergraduate,6.0,In Person,2016
5,ENGL2115,20th Century American Drama,Second Semester,Undergraduate,6.0,In Person,2016
6,ENGL6035,20th Century American Drama,Second Semester,Postgraduate,6.0,In Person,2016
7,ASGS1001,20th Century History,First Semester,Undergraduate,6.0,In Person,2016
8,PREP1102,20th Century History,First Semester/Second Semester,Undergraduate,6.0,In Person,2016
9,MUSI6005,A Critical History of Rock,First Semester,Postgraduate,6.0,Blended,2016
10,MUSI2215,A Critical History of Rock,First Semester,Undergraduate,6.0,In Person,2016
11,HIST8018,A Globalising World,,Postgraduate,6.0,Online or In Person,2016
12,MUSI2217,A History of Jazz,,Undergraduate,6.0,In Person,2016
13,MGMT7169,A Management Framework For Business Projects,Second Semester,Postgraduate,6.0,In Person,2016
14,ARAB3009,A Semester in the Arab World,Summer Session,Undergraduate,24.0,In Person,2016
15,LING3030,A comparative study of Austronesian languages,,Undergraduate,6.0,In Person,2016
16,ANCH2020,A region in antiquity: Gallipoli and western Turkey,,Undergraduate,12.0,In Person,2016
17,ANCH6505,A region in antiquity: Gallipoli and western Turkey,,Postgraduate,12.0,In Person,2016
18,ASIA2107,ACICIS International Relations Program,Second Semester,Undergraduate,6.0,Blended,2016
19,CBEA6070,ANU College of Business and Economics Internship Project (PG),First Semester/Second Semester,Postgraduate,6.0,Blended,2016
20,CBEA3070,ANU College of Business and Economics Internship Project (UG),First Semester/Second Semester,Undergraduate,6.0,Blended,2016
21,CBEA9820,ANU College of Business and Economics Research Course for Exchange  Students,,Research,6.0,In Person,2016
