,CourseCode,Name,Session,Career,Units,ModeOfDelivery,Year
0,LAWS8403,#MeToo and the Law,,Postgraduate,6.0,Online or In Person,2022
1,MEAS8127,"'Sectarianism' in the Middle East: Theology, Politics and Identity",,Postgraduate,6.0,In Person,2022
2,INTR2020,(In)Stability on the Korean Peninsula,,Undergraduate,6.0,In Person,2022
3,MGMT7169,A Management Framework For Business Projects,Second Semester,Postgraduate,6.0,In Person,2022
4,LAWS4251,AI and Law,Second Semester,Undergraduate,6.0,Online or In Person,2022
5,CBEA6070,ANU College of Business and Economics Internship Program (PG),First Semester/Second Semester,Postgraduate,6.0,In Person,2022
6,CBEA3070,ANU College of Business and Economics Internship Program (UG),First Semester/Second Semester,Undergraduate,6.0,In Person,2022
7,EXTN1007A,ANU Extension Advanced Japanese A,Autumn Session,Undergraduate,0.0,In Person,2022
8,EXTN1007B,ANU Extension Advanced Japanese B,Autumn Session,Undergraduate,6.0,In Person,2022
9,EXTN1001A,ANU Extension Astrophysics A,Autumn Session,Undergraduate,0.0,In Person,2022
10,EXTN1001B,ANU Extension Astrophysics B,Autumn Session,Undergraduate,6.0,In Person,2022
11,EXTN1004A,ANU Extension Biodiversity A,Autumn Session,Undergraduate,0.0,In Person,2022
12,EXTN1004B,ANU Extension Biodiversity B,Autumn Session,Undergraduate,6.0,In Person,2022
13,EXTN1002A,ANU Extension Chemistry A,Autumn Session,Undergraduate,0.0,In Person,2022
14,EXTN1002B,ANU Extension Chemistry B,Autumn Session,Undergraduate,6.0,In Person,2022
15,EXTN1003A,ANU Extension Continuing Chinese A,Autumn Session,Undergraduate,0.0,In Person,2022
16,EXTN1003B,ANU Extension Continuing Chinese B,Autumn Session,Undergraduate,6.0,In Person,2022
17,EXTN1006A,ANU Extension Continuing Japanese A,Autumn Session,Undergraduate,0.0,In Person,2022
18,EXTN1006B,ANU Extension Continuing Japanese B,Autumn Session,Undergraduate,6.0,In Person,2022
19,EXTN1019A,ANU Extension Creative Computing A,Autumn Session,Undergraduate,0.0,In Person,2022
20,EXTN1019B,ANU Extension Creative Computing B,Autumn Session,Undergraduate,6.0,In Person,2022
21,EXTN1005A,ANU Extension Discovering Engineering A,Autumn Session,Undergraduate,0.0,In Person,2022
22,EXTN1005B,ANU Extension Discovering Engineering B,Autumn Session,Undergraduate,6.0,In Person,2022
23,EXTN1020A,ANU Extension Global Perspectives in Commerce A,Autumn Session,Undergraduate,0.0,In Person,2022
24,EXTN1020B,ANU Extension Global Perspectives in Commerce B,Autumn Session,Undergraduate,6.0,In Person,2022
25,EXTN1010A,ANU Extension Indonesian Politics and Culture A,Autumn Session,Undergraduate,0.0,In Person,2022
26,EXTN1010B,ANU Extension Indonesian Politics and Culture B,,Undergraduate,6.0,In Person,2022
27,EXTN1008A,ANU Extension Korean Language and Culture A,Autumn Session,Undergraduate,0.0,In Person,2022
28,EXTN1008B,ANU Extension Korean Language and Culture B,Autumn Session,Undergraduate,6.0,In Person,2022
29,EXTN1011A,ANU Extension Physics A,Autumn Session,Undergraduate,0.0,In Person,2022
30,EXTN1011B,ANU Extension Physics B,Autumn Session,Undergraduate,6.0,In Person,2022
31,EXTN1012A,ANU Extension Specialist Mathematics A,Autumn Session,Undergraduate,0.0,In Person,2022
32,EXTN1012B,ANU Extension Specialist Mathematics B,Autumn Session,Undergraduate,6.0,In Person,2022
33,BIOL6188,ANU SynBio Challenge Team Project,Second Semester,Postgraduate,6.0,In Person,2022
34,BIOL3188,ANU SynBio Challenge Team Project,Second Semester,Undergraduate,6.0,In Person,2022
35,SCNC5922,ANU/NUS JD (Band 2 NP),First Semester/Second Semester,Undergraduate,6.0,In Person,2022
36,HLTH3001,Aboriginal and Torres Strait Islander Health,First Semester,Undergraduate,6.0,In Person,2022
37,HIST6022,Aboriginal and Torres Strait Islander History,First Semester,Postgraduate,6.0,In Person,2022
38,HIST2022,Aboriginal and Torres Strait Islander History,First Semester,Undergraduate,6.0,In Person,2022
39,PHYS8203,Accelerators and their Application,First Semester,Postgraduate,6.0,In Person,2022
40,BUSN3051,Accounting Analytics,First Semester/Second Semester,Undergraduate,6.0,In Person,2022
41,BUSN7051,Accounting Analytics,First Semester,Postgraduate,6.0,In Person,2022
42,BUSN6051,Accounting Analytics,Second Semester,Postgraduate,6.0,In Person,2022
43,BUSN4500,Accounting Honours Thesis,First Semester/Second Semester,Undergraduate,6.0,In Person,2022
44,INFS2005,Accounting Information Systems,First Semester/Second Semester,Undergraduate,6.0,In Person,2022
45,INFS7004,Accounting Information Systems,First Semester/Second Semester,Postgraduate,6.0,In Person,2022
46,BUSN1002,Accounting Processes and Systems,First Semester/Second Semester,Undergraduate,6.0,In Person,2022
47,BUSN3001,Accounting Theory,First Semester/Second Semester,Undergraduate,6.0,In Person,2022
48,ARTH6175,Across the Pacific: Australian Interactions with American Art and Art-Worlds,,Postgraduate,6.0,In Person,2022
49,ARTH2175,Across the Pacific: Australian Interactions with American Art and Art-Worlds,,Undergraduate,6.0,In Person,2022
50,ASIA8021,Activism and Social Change in Asia and the Pacific,,Postgraduate,6.0,Online or In Person,2022
51,ACST4031,Actuarial Control Cycle 1,First Semester,Undergraduate,6.0,In Person,2022
52,ACST8040,Actuarial Control Cycle 1,First Semester,Postgraduate,6.0,In Person,2022
53,ACST4032,Actuarial Control Cycle 2,Second Semester,Undergraduate,6.0,In Person,2022
54,ACST8041,Actuarial Control Cycle 2,Second Semester,Postgraduate,6.0,In Person,2022
55,ACST4062,Actuarial Data Analysis,Second Semester,Undergraduate,6.0,In Person,2022
56,ACST8032,Actuarial Data Analysis,Second Semester,Postgraduate,6.0,In Person,2022
57,ACST4500,Actuarial Honours Thesis,First Semester/Second Semester,Undergraduate,6.0,In Person,2022
58,ACST4600,Actuarial Research Essay,,Undergraduate,6.0,In Person,2022
59,ACST4600T,Actuarial Research Essay,,Undergraduate,6.0,In Person,2022
