,CourseCode,Name,Session,Career,Units,ModeOfDelivery,Year
0,ENGL6020,"16th, 17th and 18th  Century Literature",,Postgraduate,6.0,In Person,2017
1,ENGL3005,"16th, 17th and 18th Century Literature(H)",,Undergraduate,6.0,In Person,2017
2,ENGL6022,19th & 20th Century Literature,First Semester,Postgraduate,6.0,In Person,2017
3,ENGL3022,19th and 20th Century Literature,First Semester,Undergraduate,6.0,In Person,2017
4,ENGL2115,20th Century American Drama,,Undergraduate,6.0,In Person,2017
5,ENGL6035,20th Century American Drama,,Postgraduate,6.0,In Person,2017
6,PREP1102,20th Century History,First Semester/Second Semester,Undergraduate,6.0,In Person,2017
7,ASGS1001,20th Century History,,Undergraduate,6.0,In Person,2017
8,MUSI2215,A Critical History of Rock,,Undergraduate,6.0,In Person,2017
9,MUSI6005,A Critical History of Rock,,Postgraduate,6.0,Blended,2017
10,HIST8018,A Globalising World,,Postgraduate,6.0,Online or In Person,2017
11,MUSI2217,A History of Jazz,,Undergraduate,6.0,In Person,2017
12,MGMT7169,A Management Framework For Business Projects,Second Semester,Postgraduate,6.0,In Person,2017
13,ARAB3009,A Semester in the Arab World,Summer Session,Undergraduate,24.0,In Person,2017
14,LING3030,A comparative study of Austronesian languages,,Undergraduate,6.0,In Person,2017
15,ANCH2020,A region in antiquity: Gallipoli and western Turkey,,Undergraduate,12.0,In Person,2017
16,ANCH6505,A region in antiquity: Gallipoli and western Turkey,,Postgraduate,12.0,In Person,2017
17,ASIA2107,ACICIS International Relations Program,First Semester/Second Semester,Undergraduate,6.0,Blended,2017
18,CBEA6070,ANU College of Business and Economics Internship Project (PG),First Semester/Second Semester,Postgraduate,6.0,In Person,2017
19,CBEA3070,ANU College of Business and Economics Internship Project (UG),First Semester/Second Semester,Undergraduate,6.0,In Person,2017
20,CBEA9820,ANU College of Business and Economics Research Course for Exchange  Students,,Research,6.0,In Person,2017
21,CBEA8001,ANU College of Business and Economics Sub-Thesis,,Postgraduate,18.0,In Person,2017
22,EXTN1001A,ANU Extension Astrophysics A,Autumn Session,Undergraduate,0.0,In Person,2017
23,EXTN1001B,ANU Extension Astrophysics B,Autumn Session,Undergraduate,6.0,In Person,2017
24,EXTN1002A,ANU Extension Chemistry A,Autumn Session,Undergraduate,0.0,In Person,2017
25,EXTN1002B,ANU Extension Chemistry B,Autumn Session,Undergraduate,6.0,In Person,2017
26,EXTN1004A,ANU Extension Conservation Biology A,Autumn Session,Undergraduate,0.0,In Person,2017
27,EXTN1004B,ANU Extension Conservation Biology B,Autumn Session,Undergraduate,6.0,In Person,2017
28,EXTN1012A,ANU Extension Maths A,Autumn Session,Undergraduate,0.0,In Person,2017
29,EXTN1012B,ANU Extension Maths B,Autumn Session,Undergraduate,6.0,In Person,2017
30,EXTN1011A,ANU Extension Physics A,Autumn Session,Undergraduate,0.0,In Person,2017
31,EXTN1011B,ANU Extension Physics B,Autumn Session,Undergraduate,6.0,In Person,2017
32,SCNC5922,ANU/NUS JD (Band 2 NP),First Semester/Second Semester,Undergraduate,6.0,In Person,2017
33,PHYS8011,ANU/NUS Study Program I,First Semester/Second Semester,Postgraduate,6.0,In Person,2017
34,PHYS8012,ANU/NUS Study Program II,First Semester/Second Semester,Postgraduate,6.0,In Person,2017
35,ASGS1106,ASGS1106 Support For Microeconomics 1,Second Semester,Undergraduate,6.0,In Person,2017
36,ASGS1107,ASGS1107 Support for Communication For Business,Second Semester,Undergraduate,6.0,In Person,2017
37,PSYC3025,Abnormal Psychology across the Life Span,First Semester,Undergraduate,6.0,In Person,2017
38,ARTH2098,Aboriginal and Torres Strait Islander Art,Summer Session,Undergraduate,6.0,In Person,2017
39,ARTH6598,Aboriginal and Torres Strait Islander Art,Summer Session,Postgraduate,6.0,In Person,2017
40,LING6030,Academic English,First Semester,Postgraduate,6.0,In Person,2017
41,LING2107,Academic English,First Semester,Undergraduate,6.0,In Person,2017
42,PHYS8203,Accelerators and their application,First Semester,Postgraduate,6.0,In Person,2017
43,LAWS8334,Access to Justice in Global and Local Contexts,Autumn Session,Postgraduate,6.0,In Person,2017
44,PREP1103,Accounting,First Semester/Second Semester,Undergraduate,6.0,In Person,2017
45,BUSN7051,Accounting Analytics,First Semester/Second Semester,Postgraduate,6.0,In Person,2017
46,BUSN3051,Accounting Analytics,First Semester/Second Semester,Undergraduate,6.0,In Person,2017
47,BUSN4500,Accounting Honours Thesis,First Semester/Second Semester,Undergraduate,6.0,In Person,2017
48,ACCT4004P,Accounting IV Honours (S),First Semester/Second Semester,Undergraduate,12.0,In Person,2017
49,ACCT4004F,Accounting IV Honours (S),First Semester/Second Semester,Undergraduate,12.0,In Person,2017
50,INFS2005,Accounting Information Systems,First Semester/Second Semester,Undergraduate,6.0,In Person,2017
51,INFS7004,Accounting Information Systems,First Semester/Second Semester,Postgraduate,6.0,In Person,2017
