,CourseCode,Name,Session,Career,Units,ModeOfDelivery,Year
0,LAWS8403,#MeToo and the Law,Winter Session,Postgraduate,6.0,In Person,2020
1,INTR2020,(In)Stability on the Korean Peninsula,Second Semester,Undergraduate,6.0,In Person,2020
2,ENGL6020,"16th, 17th and 18th  Century Literature",,Postgraduate,6.0,In Person,2020
3,ENGL3005,"16th, 17th and 18th Century Literature(H)",,Undergraduate,6.0,In Person,2020
4,ENGL6022,19th & 20th Century Literature,First Semester,Postgraduate,6.0,In Person,2020
5,ENGL3022,19th and 20th Century Literature,First Semester,Undergraduate,6.0,In Person,2020
6,ENGL2115,20th Century American Drama,,Undergraduate,6.0,In Person,2020
7,ENGL6035,20th Century American Drama,,Postgraduate,6.0,In Person,2020
8,ASGS1001,20th Century History,,Undergraduate,6.0,In Person,2020
9,PREP1102,20th Century History,,Undergraduate,6.0,In Person,2020
10,MGMT7169,A Management Framework For Business Projects,Second Semester,Postgraduate,6.0,In Person,2020
11,LAWS4251,AI and Law,Autumn Session,Undergraduate,6.0,In Person,2020
12,CBEA6070,ANU College of Business and Economics Internship Program (PG),First Semester/Second Semester,Postgraduate,6.0,In Person,2020
13,CBEA3070,ANU College of Business and Economics Internship Program (UG),First Semester/Second Semester,Undergraduate,6.0,In Person,2020
14,EXTN1001A,ANU Extension Astrophysics A,Autumn Session,Undergraduate,0.0,In Person,2020
15,EXTN1001B,ANU Extension Astrophysics B,Autumn Session,Undergraduate,6.0,In Person,2020
16,EXTN1002A,ANU Extension Chemistry A,Autumn Session,Undergraduate,0.0,In Person,2020
17,EXTN1002B,ANU Extension Chemistry B,Autumn Session,Undergraduate,6.0,In Person,2020
18,EXTN1004A,ANU Extension Conservation Biology A,Autumn Session,Undergraduate,0.0,In Person,2020
19,EXTN1004B,ANU Extension Conservation Biology B,Autumn Session,Undergraduate,6.0,In Person,2020
20,EXTN1019A,ANU Extension Creative Computing A,,Undergraduate,0.0,In Person,2020
21,EXTN1019B,ANU Extension Creative Computing B,,Undergraduate,6.0,In Person,2020
22,EXTN1012A,ANU Extension Maths A,Autumn Session,Undergraduate,0.0,In Person,2020
23,EXTN1012B,ANU Extension Maths B,Autumn Session,Undergraduate,6.0,In Person,2020
24,EXTN1011A,ANU Extension Physics A,Autumn Session,Undergraduate,0.0,In Person,2020
25,EXTN1011B,ANU Extension Physics B,Autumn Session,Undergraduate,6.0,In Person,2020
26,SCNC5922,ANU/NUS JD (Band 2 NP),First Semester/Second Semester,Undergraduate,6.0,In Person,2020
27,PHYS8011,ANU/NUS Study Program I,First Semester/Second Semester,Postgraduate,6.0,In Person,2020
28,PHYS8012,ANU/NUS Study Program II,First Semester/Second Semester,Postgraduate,6.0,In Person,2020
29,ASGS1106,ASGS1106 Support For Microeconomics 1,,Undergraduate,6.0,In Person,2020
30,ASGS1107,ASGS1107 Support for Communication For Business,,Undergraduate,6.0,In Person,2020
31,HLTH3001,Aboriginal and Torres Strait Islander Health,First Semester,Undergraduate,6.0,In Person,2020
32,HIST6022,Aboriginal and Torres Strait Islander History,First Semester,Postgraduate,6.0,In Person,2020
33,HIST2022,Aboriginal and Torres Strait Islander History,First Semester,Undergraduate,6.0,In Person,2020
34,PHYS8203,Accelerators and their application,First Semester,Postgraduate,6.0,In Person,2020
35,LAWS8334,Access to Justice in Global and Local Contexts,,Postgraduate,6.0,In Person,2020
36,PREP1103,Accounting,,Undergraduate,6.0,In Person,2020
37,BUSN3051,Accounting Analytics,First Semester/Second Semester,Undergraduate,6.0,In Person,2020
38,BUSN7051,Accounting Analytics,First Semester/Second Semester,Postgraduate,6.0,In Person,2020
39,BUSN4500,Accounting Honours Thesis,First Semester/Second Semester,Undergraduate,6.0,In Person,2020
40,INFS7004,Accounting Information Systems,First Semester/Second Semester,Postgraduate,6.0,In Person,2020
41,INFS2005,Accounting Information Systems,First Semester/Second Semester,Undergraduate,6.0,In Person,2020
42,BUSN1002,Accounting Processes and Systems,First Semester/Second Semester,Undergraduate,6.0,In Person,2020
43,BUSN3001,Accounting Theory,First Semester/Second Semester,Undergraduate,6.0,In Person,2020
44,LEGW8100,Accounts,,Postgraduate,3.0,In Person,2020
