,CourseCode,Name,Session,Career,Units,ModeOfDelivery,Year
0,BIAN2115,'Race' and Human Genetic Variation,Second Semester,Undergraduate,6.0,In Person,2015
1,ENGL6020,"16th, 17th and 18th  Century Literature",First Semester,Postgraduate,6.0,In Person,2015
2,ENGL3005,"16th, 17th and 18th Century Literature(H)",First Semester,Undergraduate,6.0,In Person,2015
3,ENGL6022,19th & 20th Century Literature,Second Semester,Postgraduate,6.0,In Person,2015
4,ENGL2008,19th and 20th Century Literature,Second Semester,Undergraduate,6.0,In Person,2015
5,ENGL2115,20th Century American Drama,,Undergraduate,6.0,In Person,2015
6,ENGL6035,20th Century American Drama,,Postgraduate,6.0,In Person,2015
7,PREP1102,20th Century History,First Semester/Second Semester,Undergraduate,6.0,In Person,2015
8,ASGS1001,20th Century History,First Semester,Undergraduate,6.0,In Person,2015
9,MUSI6005,A Critical History of Rock,,Postgraduate,6.0,Blended,2015
10,MUSI2215,A Critical History of Rock,,Undergraduate,6.0,In Person,2015
11,HIST8018,A Globalising World,Second Semester,Postgraduate,6.0,Blended,2015
12,MUSI2217,A History of Jazz,Second Semester,Undergraduate,6.0,In Person,2015
13,MGMT7169,A Management Framework For Business Projects,Second Semester,Postgraduate,6.0,In Person,2015
14,ARAB3009,A Semester in the Arab World,Summer Session,Undergraduate,24.0,In Person,2015
15,LING3030,A comparative study of Austronesian languages,First Semester,Undergraduate,6.0,In Person,2015
16,ANCH2020,A region in antiquity: Gallipoli and western Turkey,,Undergraduate,12.0,In Person,2015
17,ANCH6505,A region in antiquity: Gallipoli and western Turkey,,Postgraduate,12.0,In Person,2015
18,ECCO8001,ANU College of Business and Economics Sub-Thesis,First Semester/Second Semester,Postgraduate,18.0,In Person,2015
19,EXTN1001A,ANU Extension Astrophysics A,Autumn Session,Undergraduate,0.0,In Person,2015
20,EXTN1001B,ANU Extension Astrophysics B,Autumn Session,Undergraduate,6.0,In Person,2015
21,EXTN1002A,ANU Extension Chemistry A,Autumn Session,Undergraduate,0.0,In Person,2015
22,EXTN1002B,ANU Extension Chemistry B,Autumn Session,Undergraduate,6.0,In Person,2015
23,EXTN1004A,ANU Extension Conservation Biology A,Autumn Session,Undergraduate,0.0,In Person,2015
24,EXTN1004B,ANU Extension Conservation Biology B,Autumn Session,Undergraduate,6.0,In Person,2015
25,EXTN1012A,ANU Extension Maths A,Autumn Session,Undergraduate,0.0,In Person,2015
26,EXTN1012B,ANU Extension Maths B,Autumn Session,Undergraduate,6.0,In Person,2015
27,EXTN1011A,ANU Extension Physics A,Autumn Session,Undergraduate,0.0,In Person,2015
28,EXTN1011B,ANU Extension Physics B,Autumn Session,Undergraduate,6.0,In Person,2015
29,SCNC5922,ANU/NUS JD (Band 2 NP),First Semester/Second Semester,Undergraduate,6.0,In Person,2015
30,PHYS8011,ANU/NUS Study Program I,First Semester/Second Semester,Postgraduate,6.0,In Person,2015
31,PHYS8012,ANU/NUS Study Program II,First Semester/Second Semester,Postgraduate,6.0,In Person,2015
32,ASGS1106,ASGS1106 Support For Microeconomics 1,Second Semester,Undergraduate,6.0,In Person,2015
33,ASGS1107,ASGS1107 Support for Communication For Business,Second Semester,Undergraduate,6.0,In Person,2015
34,PSYC3025,Abnormal Psychology across the Life Span,First Semester,Undergraduate,6.0,In Person,2015
