,CourseCode,Name,Session,Career,Units,ModeOfDelivery,Year
0,MEAS8127,"'Sectarianism' in the Middle East: Theology, Politics and Identity",,Postgraduate,6.0,In Person,2023
1,INTR2020,(In)Stability on the Korean Peninsula,,Undergraduate,6.0,In Person,2023
2,MGMT7169,A Management Framework For Business Projects,Second Semester,Postgraduate,6.0,In Person,2023
3,CBEA6070,ANU College of Business and Economics Internship Program (PG),First Semester/Second Semester,Postgraduate,6.0,In Person,2023
4,CBEA3070,ANU College of Business and Economics Internship Program (UG),First Semester/Second Semester,Undergraduate,6.0,In Person,2023
5,EXTN1007A,ANU Extension Advanced Japanese A,Autumn Session,Undergraduate,0.0,In Person,2023
6,EXTN1007B,ANU Extension Advanced Japanese B,Autumn Session,Undergraduate,6.0,In Person,2023
7,EXTN1001A,ANU Extension Astrophysics A,Autumn Session,Undergraduate,0.0,In Person,2023
8,EXTN1001B,ANU Extension Astrophysics B,Autumn Session,Undergraduate,6.0,In Person,2023
9,EXTN1004A,ANU Extension Biodiversity A,Autumn Session,Undergraduate,0.0,In Person,2023
10,EXTN1004B,ANU Extension Biodiversity B,Autumn Session,Undergraduate,6.0,In Person,2023
11,EXTN1002A,ANU Extension Chemistry A,Autumn Session,Undergraduate,0.0,In Person,2023
12,EXTN1002B,ANU Extension Chemistry B,Autumn Session,Undergraduate,6.0,In Person,2023
13,EXTN1003A,ANU Extension Continuing Chinese A,Autumn Session,Undergraduate,0.0,In Person,2023
14,EXTN1003B,ANU Extension Continuing Chinese B,Autumn Session,Undergraduate,6.0,In Person,2023
15,EXTN1006A,ANU Extension Continuing Japanese A,Autumn Session,Undergraduate,0.0,In Person,2023
16,EXTN1006B,ANU Extension Continuing Japanese B,Autumn Session,Undergraduate,6.0,In Person,2023
17,EXTN1019A,ANU Extension Creative Computing A,Autumn Session,Undergraduate,0.0,In Person,2023
18,EXTN1019B,ANU Extension Creative Computing B,Autumn Session,Undergraduate,6.0,In Person,2023
19,EXTN1005A,ANU Extension Discovering Engineering A,Autumn Session,Undergraduate,0.0,In Person,2023
20,EXTN1005B,ANU Extension Discovering Engineering B,Autumn Session,Undergraduate,6.0,In Person,2023
21,EXTN1020A,ANU Extension Global Perspectives in Commerce A,Autumn Session,Undergraduate,0.0,In Person,2023
22,EXTN1020B,ANU Extension Global Perspectives in Commerce B,Autumn Session,Undergraduate,6.0,In Person,2023
23,EXTN1010A,ANU Extension Indonesian Politics and Culture A,,Undergraduate,0.0,In Person,2023
24,EXTN1010B,ANU Extension Indonesian Politics and Culture B,Autumn Session,Undergraduate,6.0,In Person,2023
25,EXTN1008A,ANU Extension Korean Language and Culture A,Autumn Session,Undergraduate,0.0,In Person,2023
26,EXTN1008B,ANU Extension Korean Language and Culture B,Autumn Session,Undergraduate,6.0,In Person,2023
27,EXTN1011A,ANU Extension Physics A,Autumn Session,Undergraduate,0.0,In Person,2023
28,EXTN1011B,ANU Extension Physics B,Autumn Session,Undergraduate,6.0,In Person,2023
29,EXTN1012A,ANU Extension Specialist Mathematics A,Autumn Session,Undergraduate,0.0,In Person,2023
